,Keywords,Num of appearance,tf-idf weight
742,operating,1,0.0
661,defense,1,0.0
772,e6d,1,0.0
628,atjava,1,0.0
746,dimensional,1,0.0
773,completely,1,0.0
626,allocateduntil,1,0.0
745,fromall,1,0.0
625,falsebyte8,1,0.0
624,listed,1,0.0
774,designed,1,0.0
622,methodshould,1,0.0
775,potential,1,0.0
663,old,1,0.0
700,requires,1,0.0
766,stacks,1,0.0
779,javavariables,1,0.0
743,executionthe,1,0.0
636,deallocates,1,0.0
670,orviruses,1,0.0
658,whenquitting,1,0.0
612,displays,1,0.0
675,pc,1,0.0
803,computer,1,0.0
652,effort,1,0.0
805,vspace,1,0.0
600,programmingthe,1,0.0
762,descriptionidi,1,0.0
638,appletthe,1,0.0
807,equivalentcode,1,0.0
810,constantsvariables,1,0.0
729,acollection,1,0.0
761,heapwould,1,0.0
640,page,1,0.0
682,corner,1,0.0
683,typedescriptionbooleantrue,1,0.0
595,cloneable,1,0.0
594,clean,1,0.0
760,unnecessarily,1,0.0
802,files,1,0.0
769,invalid,1,0.0
763,differently,1,0.0
731,harm,1,0.0
611,menus,1,0.0
789,phase,1,0.0
671,things,1,0.0
610,contained,1,0.0
736,think,1,0.0
672,messagesfrom,1,0.0
734,javadoc,1,0.0
609,libraries,1,0.0
608,native,1,0.0
607,sizes,1,0.0
673,pronejava,1,0.0
791,interesting,1,0.0
794,nullpointerexception,1,0.0
795,leaves,1,0.0
674,javalanguage,1,0.0
797,classpath,1,0.0
800,namelistobj,1,0.0
801,copysemantics,1,0.0
755,objectresults,1,0.0
0,lines,1,0.0
551,statdo,1,0.0
157,bitsint32,1,0.0
159,steal,1,0.0
162,objectprimitive,1,0.0
163,stored,1,0.0
165,callclass,1,0.0
166,executionan,1,0.0
156,declarationsa,1,0.0
168,intentionally,1,0.0
171,stringsjava,1,0.0
173,normal,1,0.0
176,statementsstatementexamplesifif,1,0.0
177,drawing,1,0.0
178,systemresources,1,0.0
179,functionthat,1,0.0
169,pointerb,1,0.0
155,often,1,0.0
153,semanticsportabilityjava,1,0.0
152,running,1,0.0
125,notpresent,1,0.0
128,visible,1,0.0
129,ifyou,1,0.0
130,othermachines,1,0.0
131,area,1,0.0
134,differences,1,0.0
135,andt,1,0.0
137,securitythe,1,0.0
138,bitsfloat32,1,0.0
140,fill,1,0.0
141,terminates,1,0.0
142,together,1,0.0
144,considered,1,0.0
148,commentary,1,0.0
149,asnew,1,0.0
180,sends,1,0.0
181,illegal,1,0.0
183,details,1,0.0
184,conversions,1,0.0
221,modules,1,0.0
222,programinstantiates,1,0.0
224,environments,1,0.0
225,pointeryou,1,0.0
226,max_value,1,0.0
228,deallocated,1,0.0
229,codedirectly,1,0.0
230,typespurely,1,0.0
231,find,1,0.0
232,optionally,1,0.0
235,methodcauses,1,0.0
236,functionwould,1,0.0
238,terence,1,0.0
239,lowercase,1,0.0
240,undefined,1,0.0
219,priority,1,0.0
123,common,1,0.0
216,major,1,0.0
211,semanticswe,1,0.0
185,anything,1,0.0
186,brackets,1,0.0
187,calledarrayindexoutofboundsexception,1,0.0
188,difficult,1,0.0
189,arithmeticjava,1,0.0
190,stat2switchswitch,1,0.0
191,pretend,1,0.0
195,proper,1,0.0
202,bitschar16,1,0.0
203,stat2default,1,0.0
205,togroup,1,0.0
206,double64,1,0.0
207,notices,1,0.0
209,bepreceded,1,0.0
210,buttonsa,1,0.0
214,compatible,1,0.0
241,generic,1,0.0
122,publicly,1,0.0
120,copyjava,1,0.0
33,parameterscodebase,1,0.0
34,context,1,0.0
36,iconifyyour,1,0.0
37,stat1if,1,0.0
38,linking,1,0.0
39,objid,1,0.0
29,multiple,1,0.0
40,translates,1,0.0
49,relieving,1,0.0
50,order,1,0.0
52,malloc,1,0.0
53,forfor,1,0.0
55,typesprimitive,1,0.0
56,outside,1,0.0
45,five,1,0.0
26,sstill,1,0.0
25,constant4float,1,0.0
24,leakage,1,0.0
1,elementsjava,1,0.0
3,constant0x123octal,1,0.0
5,beginwith,1,0.0
6,single,1,0.0
8,crashesduring,1,0.0
9,linked,1,0.0
11,treated,1,0.0
13,discussed,1,0.0
15,definitionsimport,1,0.0
16,next,1,0.0
17,archives,1,0.0
19,short16,1,0.0
20,modified,1,0.0
21,e6f,1,0.0
23,lowest,1,0.0
57,calledonce,1,0.0
59,representation,1,0.0
60,applies,1,0.0
61,themout,1,0.0
97,otherjava,1,0.0
99,corrupt,1,0.0
100,idinteger,1,0.0
101,codenew,1,0.0
102,youoverride,1,0.0
104,drawstring,1,0.0
105,stale,1,0.0
107,standalone,1,0.0
108,iii,1,0.0
110,demand,1,0.0
112,realobjects,1,0.0
114,suffixhexadecimal,1,0.0
117,depot,1,0.0
118,jperforms,1,0.0
119,tedious,1,0.0
95,creating,1,0.0
121,specifically,1,0.0
93,highest,1,0.0
91,distributed,1,0.0
62,rewrite,1,0.0
63,calling,1,0.0
65,immediately,1,0.0
66,dlls,1,0.0
67,referring,1,0.0
68,much,1,0.0
72,thatknow,1,0.0
74,making,1,0.0
76,arraysint,1,0.0
79,statwhilewhile,1,0.0
80,market,1,0.0
81,literals,1,0.0
84,blank,1,0.0
85,javaruntime,1,0.0
90,zero,1,0.0
92,created,1,0.0
243,exceptionsjava,1,0.0
244,bitslong64,1,0.0
246,netscapenavigator,1,0.0
435,applicationconsider,1,0.0
438,removed,1,0.0
442,isrevisited,1,0.0
443,independentbyte,1,0.0
444,three,1,0.0
446,mainwindow,1,0.0
434,operations,1,0.0
447,including,1,0.0
450,freeing,1,0.0
457,leading,1,0.0
459,usestringbuffer,1,0.0
460,thatspecify,1,0.0
461,suffixdouble,1,0.0
464,errors,1,0.0
448,named,1,0.0
430,forget,1,0.0
426,inaccessible,1,0.0
425,looks,1,0.0
390,objectsbutton,1,0.0
393,inflexible,1,0.0
396,fragments,1,0.0
398,already,1,0.0
399,across,1,0.0
401,thisthe,1,0.0
402,superclass,1,0.0
403,deep,1,0.0
404,terminated,1,0.0
410,plus,1,0.0
414,something,1,0.0
415,ofcode,1,0.0
418,nested,1,0.0
422,collectionan,1,0.0
424,remains,1,0.0
465,accompanying,1,0.0
470,owner,1,0.0
471,convention,1,0.0
472,redrawn,1,0.0
520,buttonnull,1,0.0
522,internet,1,0.0
528,thedifference,1,0.0
532,implementor,1,0.0
533,provided,1,0.0
535,useful,1,0.0
536,allowed,1,0.0
537,npackage,1,0.0
538,complexity,1,0.0
539,mandatory,1,0.0
541,leaks,1,0.0
542,src,1,0.0
543,restrictions,1,0.0
548,translated,1,0.0
550,commentswhere,1,0.0
519,upper,1,0.0
389,standardoutput,1,0.0
514,body,1,0.0
511,atruntime,1,0.0
474,burden,1,0.0
475,codebutton,1,0.0
476,another,1,0.0
477,namelistqualified,1,0.0
483,integrateyour,1,0.0
484,valuesarguments,1,0.0
487,javaobject,1,0.0
488,longerneeded,1,0.0
492,objectgeneral,1,0.0
493,apply,1,0.0
495,arraya,1,0.0
496,referred,1,0.0
498,int00000in,1,0.0
500,concatenated,1,0.0
504,paramtest,1,0.0
512,u00aeboolean,1,0.0
388,precedence,1,0.0
387,nonportable,1,0.0
386,toconvert,1,0.0
290,abc,1,0.0
292,latest,1,0.0
298,becomes,1,0.0
301,objectoperatorsthe,1,0.0
302,also,1,0.0
303,amethod,1,0.0
304,scoped,1,0.0
306,generatedocumentation,1,0.0
307,takes,1,0.0
309,align,1,0.0
310,efficient,1,0.0
312,shallow,1,0.0
313,internally,1,0.0
316,figure,1,0.0
317,stat1case,1,0.0
286,symbol,1,0.0
319,pointed,1,0.0
285,diagram,1,0.0
278,valueof,1,0.0
247,combination,1,0.0
249,painting,1,0.0
251,observation,1,0.0
252,members,1,0.0
253,intsnew,1,0.0
254,bitmaps,1,0.0
256,character,1,0.0
259,thisstatement,1,0.0
261,problemsbecause,1,0.0
262,publicclass,1,0.0
264,needsto,1,0.0
266,jumping,1,0.0
270,portions,1,0.0
271,typesint,1,0.0
277,block,1,0.0
284,onany,1,0.0
554,compared,1,0.0
321,software,1,0.0
328,stats,1,0.0
363,storing,1,0.0
364,specified,1,0.0
365,availablefor,1,0.0
366,frameremoves,1,0.0
367,allocation,1,0.0
370,back,1,0.0
371,creation,1,0.0
373,content,1,0.0
375,places,1,0.0
377,ishandled,1,0.0
378,deiconify,1,0.0
380,leads,1,0.0
383,implements,1,0.0
384,img,1,0.0
385,objectsassignment,1,0.0
360,hostplatform,1,0.0
323,thedirectories,1,0.0
359,avoid,1,0.0
357,commenting,1,0.0
329,acompilation,1,0.0
333,attemptingto,1,0.0
335,thereforejava,1,0.0
336,objectsuperthe,1,0.0
337,command,1,0.0
342,manager,1,0.0
344,classthat,1,0.0
346,disks,1,0.0
347,several,1,0.0
348,giant,1,0.0
349,ofyour,1,0.0
351,methodsrobustnessthe,1,0.0
352,well,1,0.0
353,notnecessary,1,0.0
354,effects,1,0.0
358,aplications,1,0.0
429,thereby,1,0.0
